scheme_id,scheme_name,level,state,department,category,gender,caste_category,min_age,max_age,max_income,occupation,description,benefits,official_link
SCH0001,PM Kisan Samman Nidhi,Central,All India,Ministry of Agriculture,Agriculture,All,All,18,100,200000,Farmer,Income support for small and marginal farmer families.,"Rs 6,000/year in 3 installments of Rs 2,000 each.",https://pmkisan.gov.in
SCH0002,Pradhan Mantri Awas Yojana (Urban),Central,All India,Ministry of Housing and Urban Affairs,Housing,All,All,18,100,300000,All,Interest subsidy on home loans for EWS/LIG/MIG urban households.,Interest subsidy up to Rs 2.67 lakh on home loans.,https://pmaymis.gov.in
SCH0003,Pradhan Mantri Awas Yojana (Gramin),Central,All India,Ministry of Rural Development,Housing,All,All,18,100,120000,All,Financial assistance to build pucca houses for rural poor households.,Rs 1.2 lakh (plain areas) / Rs 1.3 lakh (hilly areas) assistance.,https://pmayg.nic.in
SCH0004,Ayushman Bharat - PMJAY,Central,All India,Ministry of Health & Family Welfare,Health,All,All,0,100,500000,All,Health insurance cover for economically vulnerable families.,Cashless health cover of Rs 5 lakh/family/year.,https://pmjay.gov.in
SCH0005,Pradhan Mantri Ujjwala Yojana,Central,All India,Ministry of Petroleum & Natural Gas,Welfare,Female,All,18,100,100000,Woman-headed household,Free LPG connections to women from BPL households.,Free LPG gas connection + first refill support.,https://pmuy.gov.in
SCH0006,Pradhan Mantri Jan Dhan Yojana,Central,All India,Ministry of Finance,Financial Inclusion,All,All,10,100,-1,All,Universal access to banking with zero-balance accounts.,"Zero-balance account, RuPay card, Rs 2 lakh accident insurance.",https://pmjdy.gov.in
SCH0007,Sukanya Samriddhi Yojana,Central,All India,Ministry of Finance,Girl Child,Female,All,0,10,-1,All,Small savings scheme for the girl child's education and marriage.,"High interest savings account, tax benefits under 80C.",https://www.india.gov.in/sukanya-samriddhi-yojana
SCH0008,Beti Bachao Beti Padhao,Central,All India,Ministry of Women & Child Development,Girl Child,Female,All,0,18,-1,All,"Awareness and welfare scheme for the survival, protection and education of the girl child.","Educational support, awareness campaigns, incentives.",https://wcd.nic.in/bbbp-schemes
SCH0009,National Old Age Pension Scheme (IGNOAPS),Central,All India,Ministry of Rural Development,Pension,All,All,60,100,100000,Senior Citizen,Monthly pension for BPL elderly citizens.,Rs 200-500/month (state top-ups vary).,https://nsap.nic.in
SCH0010,Pradhan Mantri Matru Vandana Yojana,Central,All India,Ministry of Women & Child Development,Maternity,Female,All,19,45,-1,All,Maternity benefit for pregnant and lactating mothers.,"Rs 5,000 cash incentive for first living child.",https://pmmvy.wcd.gov.in
SCH0011,Pradhan Mantri Jeevan Jyoti Bima Yojana,Central,All India,Ministry of Finance,Insurance,All,All,18,50,-1,All,Renewable term life insurance for bank account holders.,Rs 2 lakh life cover for Rs 436/year premium.,https://jansuraksha.gov.in
SCH0012,Pradhan Mantri Suraksha Bima Yojana,Central,All India,Ministry of Finance,Insurance,All,All,18,70,-1,All,Accidental death and disability insurance scheme.,Rs 2 lakh accident cover for Rs 20/year premium.,https://jansuraksha.gov.in
SCH0013,Atal Pension Yojana,Central,All India,Ministry of Finance,Pension,All,All,18,40,-1,Unemployed,Guaranteed pension scheme for unorganized sector workers.,"Monthly pension of Rs 1,000-5,000 after age 60.",https://npscra.nsdl.co.in/scheme-details.php
SCH0014,National Scholarship Portal - Post Matric SC,Central,All India,Ministry of Social Justice & Empowerment,Education,All,SC,15,30,250000,Student,Scholarship for SC students studying post-matriculation courses.,Full tuition fee + maintenance allowance.,https://scholarships.gov.in
SCH0015,National Scholarship Portal - Post Matric ST,Central,All India,Ministry of Tribal Affairs,Education,All,ST,15,30,250000,Student,Scholarship for ST students studying post-matriculation courses.,Full tuition fee + maintenance allowance.,https://scholarships.gov.in
